,Timestamp,Recipe,human,manipulator,Safe_Ovr
53,1696864437.547773,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
54,1696864437.5677485,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
55,1696864437.5877624,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
56,1696864437.6077864,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
57,1696864437.6277812,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
58,1696864437.6477666,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
59,1696864437.6677668,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
60,1696864437.6877656,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
61,1696864437.70777,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
62,1696864437.7277637,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
63,1696864437.7477753,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
64,1696864437.7677796,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
65,1696864437.7877622,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
66,1696864437.807774,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
67,1696864437.8277912,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
68,1696864437.847809,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
69,1696864437.8677783,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
70,1696864437.8877711,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
71,1696864437.9077878,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
72,1696864437.9277837,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
73,1696864437.9478118,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
74,1696864437.96797,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
75,1696864437.9877675,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
76,1696864438.0077703,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
77,1696864438.0277495,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
78,1696864438.0477664,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
79,1696864438.0677717,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
80,1696864438.087792,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
81,1696864438.107781,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
82,1696864438.1277654,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
83,1696864438.147772,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
84,1696864438.1677804,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
85,1696864438.187814,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
86,1696864438.2077668,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
87,1696864438.2277763,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
88,1696864438.247808,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
89,1696864438.2677603,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
90,1696864438.2877734,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
91,1696864438.3077788,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
92,1696864438.3277674,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
93,1696864438.3478143,COMPLETE_HA_SOLVER_rec_0_rep_0_2023_10_09_17:13,,battery_sorting,100.0
